id	artist	album	genre	year
629	David Bowie	Low	Art Rock, Avant Pop, Electronic, Ambient Pop	1977
627	Jeff Rosenstock	Hellmode	Punk	2023
626	Stephen Steinbrink	Dissapearing Coin	Folk, Pop	2023
625	Tele Novella	Marlynn Belle	Folk, Country, Medieval, Psych Pop	2021
624	Tele Novella	Poet's Tooth	Folk, Country, Medieval, Psych Pop	2023
623	Foot Ox	It's Like Our Little Machine	Folk, Punk, Experimental	2008
622	Sad Park	No More Sound	Punk, Pop	2023
621	Foot Ox	Judee & the Sun	Folk, Punk, Experimental	2023
620	Sparks	The Girl is Crying in Her Latte	Art Pop, Synth Pop	2023
619	Jean Michele Jarre	The Essential	Synth Pop, Ambient	1983
618	Kate Bush	Hounds of Love	Art Rock, Experimental, Pop	1985
617	David Grisman	Mondo Mando	Jazz, Bluegrass	1981
616	Future Islands	Singles	Synth Pop	2014
615	Littlest Man Band	Better Book Ends	Ska, Rock	2004
614	Littlest Man Band	Unknown	Ska, Rock	2004
613	Wolfgang Amadeus Mozart	Soundtrack	Classical	1984
612	Charles Wright & the Watts 103rd Street Rhythm Band	Express Yourself	Soul, Funk, R&B	1970
611	Van Dyke Parks	Song Cycle	Orchestral Pop, Avant Pop, Art Rock	1967
610	The Zombies	Odessey and Oracle	Baroque Pop, Psychedellic Pop	1968
609	Andrew W.K	I Get Wet	Hard Rock, Heavy Metal, Punk Rock	2001
608	The Native Steel Drum Band	Steel Drum	World, Steel Drum, Calypso	1959
607	Joanna Newsom	Y's	Progressive Folk, Baroque Pop, Indie Folk	2006
606	DEVO	Are We Not Men	New Wave, Post Punk, Art Rock	1978
605	We Are the Union	Ordinary Life	Ska, Punk	2021
604	The Slackers	Don’t Let The Sunlight Fool Ya	Ska	2022
603	Procol Harum	The Best Of Procol Harum	Rock	1972
602	David Bowie	Scary Monsters (and Super Creeps)	Art Rock, New Wave, Post Punk	1980
601	Bronski Beat	Truthdare Doubledare	Synthpop, Dance	1985
600	Catbite	Nice One	Ska, Punk	2021
599	Bacao Rhythm & Steel Band	Represent / Juicy Fruit	Hip Hop, Reggae, Funk, Soul	2022
598	Ramsey Lewis	Salongo	Soul-Jazz, Jazz-Funk	1976
597	Roy Orbison	The Very Best of Roy Orbison	Rock & Roll, Pop	1966
596	Estacado	Estacado	Psychedelic Rock	2022
595	Jeff Rosenstock	Ska Dream	Ska, Punk	2021
594	Adam and the Ants	Kings of the Wild Frontier	Rock, Pop	1980
592	The 5.6.7.8's	Sho-Jo-Ji	Rock & Roll	2011
591	John & Tom	Gonna Lay Down My Old Guitar	Country, Folk	2011
590	Joshua Hedley	Broken Man	Country	2018
589	Carl Sagan	A Glorious Dawn	Spoken Word	2009
588	Roy Orbison	Chicken-Hearted	Rock & Roll	1957
587	The Black Belles	Wishing Well	Garage Goth	2012
586	Michael, Liz & Heather	Greetings From Nashville	Spoken Word	2022
585	American Contemporary	Sonorous Explorations	Contemporary Classical	1978
584	Sparks	A Steady Drip, Drip, Drip	Art Pop	2020
583	FFS	FFS	Indie Rock, Electropop, Art Rock, Dance Rock	2015
582	Reverend Horton Heat	King	Psychobilly	1999
580	Jerry Jeff Walker	Viva Terlingua	Outlaw country	1973
579	David Laibman & Eric Schoenberg	The New Ragtime Guitar	Ragtime, Acoustic	1971
575	Dexys Midnight Runners	Too-Rye-Ay	New Wave	1982
574	Roy Orbison	There is Only One	Rock	1965
566	Igor Stravinsky		Classical	1982
564	A Turma Da Pilantragem	O Som Da Pilantragem	Brazilian, Latin, Samba	1968
561	Claude Debussy	Debussy/Ravel Quartets	Classical	1976
560	Claude Debussy	Images Pour Le Piano	Classical	1977
553	Gioachino Rossini	Greatest Hits	Classical, Opera, Symphonic	1982
548	Ella Fitzgerald	Bernard Buffet	Jazz	1959
545	Various	Woodstock	Rock	1969
544	Various	With Love From Sweden		
543	The Clash	White Riot	Punk	1977
541	DEVO	Whip It	New Wave, Synth-Pop	1980
540	Bill Cosby	When I Was a Kid	Comedy	1971
539	Louis Armstrong Orchestra & Chorus	What a Wonderful World	Jazz, Dixieland Jazz	
538	The English Beat	Wha'ppen?	Ska, Two-Tone	1981
537	Barbara Streisand	Wet	Pop	1979
535	Crystal Gayle	We Must Believe in Magic	Country	1977
532	Various	Walt Disney's Fantasia	Soundtrack	1940
529	George Frederick Handel	Two Double Concertos	Classical	
528	Kool & The Gang	Twice As Kool	R&B, Soul, Funk, Disco	1983
527	Billy Joel	Turnstiles	Soft Rock, Pop Rock, Progressive Rock	1976
525	Talking Heads	True Stories	New Wave, Post-Punk, Art Pop, Avant-Funk	1986
522	Various	Traditional Songs of Mexico	Mexican Folk	1968
521	Various	Traditional Flute Music of the Andes	Andean, Folk	1973
519	Amazing Rhythm Aces	Too Stuffed to Jump	Southern Rock	1976
517	The Four Tops	Tonight	Soul, Pop	1981
516	The Who	Tommy	Rock, Hard Rock, Power Pop	1969
513	Louis Armstrong	This is Louis Armstrong Part 1	Jazz, Dixieland Jazz	
512	Sly and the Family Stone	There's a Riot Goin' On	Funk, Psychedelic Funk, Avant Pop, Avant Soul	1971
511	Various	Themes	Soundtrack	
510	Eagles	Their Greatest	Rock, Soft Rock	1976
508	Bruce Springsteen	The Wild, the Innocent & the Street Shuffle	Rock and Roll, Rhythm and Blues	1973
507	John Willbraham	The Well-Tempered Trumpet	Classical	
505	Johann Strauss	The Vienna of Johann Strauss	Classical	
504	Link 80	The Struggle Continues...	Punk Rock, Pop Punk, Ska Punk, Skacore	2000
501	Scott Joplin	The Sting	Soundtrack, Ragtime	1973
499	George Frederick Handel	The Six Organ Concertos and Six Fugues	Classical	
497	Various	The Singing Detective	Soundtrack	1986
495	Various	The Royal Tournament 1985	Classical	
494	George Frederick Handel	The Popular Mr. Handel	Classical	
492	Holst	Planets	Classical	
489	Billy Joel	The Nyon Curtain	Pop Rock, Soft Rock	1982
488	Leon Russell & New Grass Revival	The Live Album	Newgrass	2007
486	Neil Diamond	The Jazz Singer	Pop, Jazz	1980
485	Dallas Corey	The History of the American Revolution	Spoken Word, History	
484	Various	The Good Times in Country Music	Country	
483	Smothers Brothers	The Funny Side of the Smothers Brothers	Comedy	1963
480	Les Paul and Mary Ford	The Fabulous Les Paul and Mary Ford	Jazz, Country	1965
479	David Grisman	The David Grisman Quintet	Americana, Progressive Bluegrass, Folk	1977
478	The Rah Band	The Crunch	Jazz-Funk, Synthpop, Electronic	1977
476	Various	The Concert for Bangladesh	Rock, Folk	1971
474	Various	The Big Chill	Soundtrack	1983
470	Count Basie	The Best of Count Basic Big Band	Jazz, Big Band, Swing	1988
467	Various	The All American Pop Collection	Pop	
466	Buggles	The Age of Plastic	New Wave, Electropop, Progressive Pop	1980
465	Thin Lizzy	The Adventures of Thin Lizzy	Hard Rock, Blues Rock	1981
464	Thao & Mirah	Thao & Mirah	Indie Rock	2011
463	Alberto Y Lost Trios	Thank You		
461	Tenpole Tudor	Tenpole Tudor	Punk Rock, New Wave	1981
453	Peter Tchaikovsky	Symphony No. 6	Classical	
452	Wolfgang Mozart & Haydn	Symphony No. 41 & Haydn Symphony No. 94	Classical	
451	Wolfgang Amadeus Mozart	Symphony No. 41 & 35	Classical	
450	Sibelius	Symphony No. 2	Classical	
449	Jive Bunny and the Mastermixers	Swing the Mood	Pop, Rock and Roll	1989
448	Barbara Dickson	Sweet Oasis	Pop	1978
447	Ian Dury & the Blockheads	Sweet Gene Vincent	Punk Rock, Rock and Roll	1977
444	The Who	Substitute	Rock, Hard Rock, Power Pop	1966
443	Sublime	Sublime	Ska Punk, Reggae Rock, Alternative Rock	1996
439	The Acme Bluegrass Company, Inc.	Stranded Again	Bluegrass	
436	Stephane Grappelli & David Grisman	Stephane Grappelli & David Grisman Live	Americana, Newgrass, Gypsy Jazz	1981
435	Kiki Dee	Stay With Me	Pop	1978
434	XTC	Statue of Liberty	Art Rock, Post-Punk, New Wave	1978
433	Stanley Jordan	Standards Volume I	Jazz, Jazz Fusion	1986
431	Andy Fairweather Low	Spider Jiving	Pop Rock	1974
430	Woodie Guthrie	Songs to Grown On for Mother and Child	Folk, Americana	1947
429	Captain & Tennille	Song of Joy	Pop	1976
428	The Stranglers	Something Better Change/Straighten Out	Punk Reggae	1977
427	Various	Solitudes: Environmental Sounds Experiences	Sound	
426	The English Congregation	Softly Whispering I Love You	Pop, Vocal	1971
424	Dr. Hook	Sloppy Seconds	Counrty Rock	1972
423	Stevie Wonder	Sir Duke	R&B, Soul	1977
421	Various	Sidewalks of New York	Soundtrack	
419	Various	Saturday Night Fever	Soundtrack	1977
415	Poco	Rose of Cimarron	Country Rock	1976
414	The Tigers	Romance in the Milky Way/Flower Necklace	Group Sounds, Baroque Pop	1968
413	Ramones	Rockaway Beach	Punk Rock	1977
412	Various	Rock 'N' Roll High School	Soundtrack	1979
411	PotShot	Rock 'n' Roll	Ska Punk, J-Ska	1999
410	Ike & Tina Turner	River Deep ~ Mountain High	Soul, R&B, Blues	1966
409	Wolfgang Amadeus Mozart	Requiem	Classical	
407	Edwin L Baron	Relaxation and Self-Improvement	Relaxation, Self-Improvement	
406	Various	Reflections: Original Instrumental Hits	Instrumental	
404	Dylan Thomas	Reading	Spoken Word	
403	The Boomtown Rats	Rat Trap	Punk Rock, New Wave	1978
401	Ultravox	Rage in Eden	Synth-Pop, New Wave	1981
398	Prince	Purple Rain	Pop, R&B, Rock, Psychedelia, New Wave, Funk	1984
397	Daryl Hall and John Oates	Private Eyes	Pop Rock, Blue-Eyed Soul, Soft Rock	1981
393	Various	Playboy Manbaby, Petty Things, Cherie Cherie	Rock	2011
392	Huey Lewis and the News	Picture This	Rock, Pop Rock	1981
389	The Stranglers	Peaches	Punk Reggae	1977
388	Ultravox	Passionate Reply	Synth-Pop, New Wave	1981
382	George Frederick Handel	Organ Concertos	Classical	
381	Shannon & the Clams	Onion	Garge Punk, Rockabilly, Doo-Wop	2018
380	Michael Jackson	One Day in Your Life	Pop	1981
379	The Moody Blues	On the Threshold of Dream	Progressive Rock	1969
378	Harry Chapin	On the Road to Kingdom Come	Pop Rock	1976
377	Charlie Monroe	On the Noon-Day Jamboree	Bluegrass, Gospel, Country, Folk	1974
373	Carly Simon	No Secrets	Pop Rock	1972
372	Daryl Hall and John Oates	No Goodbyes	Pop Rock, Blue-Eyed Soul, Soft Rock	1977
368	Various	Music from the Galaxies		
367	George Frederick Handel	Music for the Royal Fireworks	Classical	
365	Herman's Hermits	Mrs. Brown You Have A Lovely Daughter	Beat, Pop	1963
364	Barbara Dickson	Morning Comes Quickly	Pop	1977
361	Glochids	Null Sound	Soundtrack	2018
360	Thelonious Monk	Misterioso	Jazz, Hard Bop	1958
358	George Frederick Handel	Messiah	Classical	
357	Various	Memories		
356	Yeah Yeah Yeahs	Fever to Tell	Garage Rock Revival, Art Punk	2003
355	The Bee Gees	Massachusetts	Pop	1967
354	Mark Russell	Mark Russell's Wild, Weird, Wired World of Watergate	Spoken Word	
353	Roy Neal	Man on the Moon: The Flight of Apollo 11	History	1969
349	Kiki Dee	Loving & Free	Pop	1973
348	The Boomtown Rats	Lookin' After No. 1	Punk Rock, New Wave	1977
346	Daryl Hall and John Oates	Livetime	Pop Rock, Blue-Eyed Soul, Soft Rock	1978
343	Monty Python	Live and City Center	Comedy	1976
342	The Doors	Light My Fire	Psychedelic Rock	1967
338	Stevie Wonder	Lately	R&B, Soul	1981
