id	artist	album	genre	year	discs	speed	bought
629	David Bowie	Low	Art Rock, Avant Pop, Electronic, Ambient Pop	1977		33	2024
628	The B-52's	The B-52's	New Wave, Post Punk	1979		33	2024
627	Jeff Rosenstock	Hellmode	Punk	2023		33	2024
626	Stephen Steinbrink	Dissapearing Coin	Folk, Pop	2023		33	2024
625	Tele Novella	Marlynn Belle	Folk, Country, Medieval, Psych Pop	2021		33	2023
624	Tele Novella	Poet's Tooth	Folk, Country, Medieval, Psych Pop	2023		33	2023
623	Foot Ox	It's Like Our Little Machine	Folk, Punk, Experimental	2008		33	2023
622	Sad Park	No More Sound	Punk, Pop	2023		33	2023
621	Foot Ox	Judee & the Sun	Folk, Punk, Experimental	2023		33	2023
620	Sparks	The Girl is Crying in Her Latte	Art Pop, Synth Pop	2023		33	2023
619	Jean Michele Jarre	The Essential	Synth Pop, Ambient	1983		33	2022
618	Kate Bush	Hounds of Love	Art Rock, Experimental, Pop	1985		33	2022
617	David Grisman	Mondo Mando	Jazz, Bluegrass	1981		33	2022
616	Future Islands	Singles	Synth Pop	2014		33	2022
615	Littlest Man Band	Better Book Ends	Ska, Rock	2004		33	2022
614	Littlest Man Band	Unknown	Ska, Rock	2004		45	2022
613	Wolfgang Amadeus Mozart	Soundtrack	Classical	1984		33	2022
612	Charles Wright & the Watts 103rd Street Rhythm Band	Express Yourself	Soul, Funk, R&B	1970		33	2022
611	Van Dyke Parks	Song Cycle	Orchestral Pop, Avant Pop, Art Rock	1967		33	2022
610	The Zombies	Odessey and Oracle	Baroque Pop, Psychedellic Pop	1968		33	2022
609	Andrew W.K	I Get Wet	Hard Rock, Heavy Metal, Punk Rock	2001		33	2022
608	The Native Steel Drum Band	Steel Drum	World, Steel Drum, Calypso	1959		33	2022
607	Joanna Newsom 	Y's	Progressive Folk, Baroque Pop, Indie Folk	2006		33	2022
606	DEVO	Are We Not Men	New Wave, Post Punk, Art Rock	1978		33	2022
605	We Are the Union	Ordinary Life	Ska, Punk	2021		33	2022
604	The Slackers	Don’t Let The Sunlight Fool Ya	Ska	2022		33	2022
603	Procol Harum	The Best Of Procol Harum	Rock	1972		33	2022
