id	artist	album	genre	year	discs	speed	quality	cost	size	new	where_from
575	Dexys Midnight Runners	Too-Rye-Ay	New Wave	1982		33					
574	Roy Orbison	There is Only One	Rock	1965		33					
573	DEVO	Freedom of Choice	New Wave, Synth-Pop	1980		33					
572	David Bowie	The Man Who Sold the World	Glam Rock, Rock 	1971		33					
571	Patsy Cline	Today, Tomorrow and Forever	Country	1985		33					
570	Gene Autry	Back in the Saddle Again	Country	1939		33					
569	Dolly Parton	9 to 5 and Odd Jobs	Country	1980		33					
568	Big Audio Dynamite	Medicine Show	Hip Hop, Post Punk	1986		33					
567	Adam and the Ants	Prince Charming	New Wave	1981		33					
566	Igor Stravinsky		Classical	1982		33					
565	El Gran Combo	Este Si Que Es El Gran Combo	Salsa, Latin	1969	1	33					
564	A Turma Da Pilantragem	O Som Da Pilantragem	Brazilian, Latin, Samba	1968		33					
563	Solo Mouna	Solo Mouna	Afro Pop, Cameroon	1987		33					
562	General Public	Hand to Mouth	New Wave	1986		33					
561	Claude Debussy	Debussy/Ravel Quartets	Classical			33					
560	Claude Debussy	Images Pour Le Piano	Classical			33					
559	Elvis Costello & The Attractions	Punch the Clock	New Wave, Power Pop, Ska	1983		33					
558	Billy Preston	It's My Pleasure	Soul, Rock	1975		33					
557	Talking Heads	Remain in Light	New Wave, Post Punk, Worldbeat	1980		33					
556	Soft Cell	Non-Stop Erotic Cabaret	Synth-pop, new wave, minimal synth, electronic	1981		33			12		
555	Bon Iver	i,i	Chamber folk, experimental, folktronica	2019		33			12		
554	Sparks	Music That You Can Dance To	Dance pop	1986		33			12		
553	Gioachino Rossini	Greatest Hits	Classical, Opera, Symphonic			33			12		
552	Glochids	Ni Fila	Experimental, Sound Collage, Field Recording	2017	1	33		25	12		
551	Glochids	Water on Silver	Experimental, Sound Collage, Field Recording	2016	1	33		25	12		
550	Tacocat	This Mess is a Place	Indie Punk Rock, Surf Punk, Pop Punk	2019		33					
549	James Taylor	James Taylor	Folk Rock, Art Rock	1968		33					
548	Ella Fitzgerald	Bernard Buffet	Jazz	1959		33					
547	Bandits of the Acoustic Revolution	A Call to Arms	Acoustic, Folk, Ska	2001		33					
546	Al Stewart	Year of the Cat	Rock, Soft Rock, Progressive Pop	1976		33					
545	Various	Woodstock	Rock	1969		33					
544	Various	With Love From Sweden				33					
543	The Clash	White Riot	Punk	1977		45					
